Pipeline Type,Entity ID,Entity Name,Plant ID,Plant Name,Plant State,County,Balancing Authority Code,Sector,Generator ID,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Technology Group,Energy Source Code,Prime Mover Code,Expected Month,Expected Year,Status,Latitude,Longitude
Addition,67383,"Singer Solar, LLC",69299.0,Singer Solar,LA,Beauregard,MISO,IPP Non-CHP,4519,300.0,300.0,300.0,Solar Photovoltaic,Solar,SUN,PV,3.0,2027.0,"(P) Planned for installation, but regulatory approvals not initiated",30.694644,-93.33381
Addition,6455,"Duke Energy Florida, LLC",69356.0,Powerline Energy Storage,FL,Citrus,FPC,Electric Utility,PWLNB,100.0,100.0,100.0,Batteries,Battery storage,MWH,BA,3.0,2027.0,"(P) Planned for installation, but regulatory approvals not initiated",28.96684,-82.61751
Addition,49893,Invenergy Services LLC,69779.0,Hashknife Energy Center II LLC,AZ,Navajo,AZPS,IPP Non-CHP,HK2SO,200.0,200.0,200.0,Solar Photovoltaic,Solar,SUN,PV,3.0,2027.0,"(V) Under construction, more than 50 percent complete",34.574259,-110.4946
Addition,49893,Invenergy Services LLC,69779.0,Hashknife Energy Center II LLC,AZ,Navajo,AZPS,IPP Non-CHP,HK2ST,200.0,200.0,200.0,Batteries,Battery storage,MWH,BA,3.0,2027.0,"(V) Under construction, more than 50 percent complete",34.574259,-110.4946
Addition,67738,Fermi America,69799.0,Project Matador Gas Plant (PMG),TX,Carson,ERCO,IPP Non-CHP,FBG01,50.0,49.4,49.4,Natural Gas Fired Combined Cycle,Natural gas,NG,CT,3.0,2027.0,(T) Regulatory approvals received. Not under construction,35.283762,-101.569
Addition,67738,Fermi America,69799.0,Project Matador Gas Plant (PMG),TX,Carson,ERCO,IPP Non-CHP,FBG02,50.0,49.4,49.4,Natural Gas Fired Combined Cycle,Natural gas,NG,CT,3.0,2027.0,(T) Regulatory approvals received. Not under construction,35.283762,-101.569
Addition,67738,Fermi America,69799.0,Project Matador Gas Plant (PMG),TX,Carson,ERCO,IPP Non-CHP,FBG03,50.0,49.4,49.4,Natural Gas Fired Combined Cycle,Natural gas,NG,CT,3.0,2027.0,(T) Regulatory approvals received. Not under construction,35.283762,-101.569
Addition,67738,Fermi America,69799.0,Project Matador Gas Plant (PMG),TX,Carson,ERCO,IPP Non-CHP,FBG04,50.0,49.4,49.4,Natural Gas Fired Combined Cycle,Natural gas,NG,CT,3.0,2027.0,(T) Regulatory approvals received. Not under construction,35.283762,-101.569
Addition,67738,Fermi America,69799.0,Project Matador Gas Plant (PMG),TX,Carson,ERCO,IPP Non-CHP,FBG05,50.0,49.4,49.4,Natural Gas Fired Combined Cycle,Natural gas,NG,CT,3.0,2027.0,(T) Regulatory approvals received. Not under construction,35.283762,-101.569
Addition,67738,Fermi America,69799.0,Project Matador Gas Plant (PMG),TX,Carson,ERCO,IPP Non-CHP,FBG06,50.0,49.4,49.4,Natural Gas Fired Combined Cycle,Natural gas,NG,CT,3.0,2027.0,(T) Regulatory approvals received. Not under construction,35.283762,-101.569
